origLate,gaNum,orig,docID,groupID,primaryName,lang,userID,v11n,origEarly,shelfInstances.shelfInstance.instCountry,shelfInstances.shelfInstance.shelfID,shelfInstances.shelfInstance.originYearDescription,shelfInstances.shelfInstance.instURL,shelfInstances.shelfInstance.instPlace,shelfInstances.shelfInstance.instNameCustom,shelfInstances.shelfInstance.instID,shelfInstances.shelfInstance.leavesDescription,shelfInstances.shelfInstance.formerGANumber,shelfInstances.shelfInstance.shelfNumber,shelfInstances.shelfInstance.instLogoURL,shelfInstances.shelfInstance.instName,shelfInstances.shelfInstance.instGeoLocator,shelfInstances.shelfInstance.contentOverview,shelfInstances
299.0,"P20","III",10020.0,"","P20","g","","",200.0,"USA",18.0,"III","http://library.princeton.edu/","Princeton, NJ","",0.0,"1 Frg","","AM 4117","http://ntmss.info/instlogos/PrincetonUniversityLibrary2.jpg","Princeton University Libraries","","Jc 2,19-3,2; 3,3-9",
499.0,"P21","IV/V",10021.0,"","P21","g","","",300.0,"USA",19.0,"IV/V","http://www.muhlenberg.edu/","Allentown, PA","",0.0,"1 Frg","","Pap. 3","http://ntmss.info/instlogos/Muhlenberg4.jpg","Muhlenberg College","40.6022939,-75.4714098","Mt 12,24-26; 12,32-33",
299.0,"P22","III",10022.0,"","P22","g","","",200.0,"United Kingdom",20.0,"III","http://www.lib.gla.ac.uk/","Glasgow","",0.0,"2 Frg","","Ms. Gen. 1026/13","http://ntmss.info/instlogos/GlasgowUniversity.jpg","University Library","","J 15,25-16,3; 16,21-32",
225.0,"P23","III (A)",10023.0,"","P23","g","","",200.0,"USA",21.0,"III (A)","","Urbana, IL","",0.0,"1 Frg","","1914.21.0025 (P.Oxy X 1229)","","Spurlock Museum of World Cultures at Illinois","","Jc 1,10-12; 1,15-18",
399.0,"P24","IV",10024.0,"","P24","g","","",300.0,"USA",6085.0,"IV","https://web.library.yale.edu/divinity ","New Haven, CT","",0.0,"1 Frg","","RG 305 (Box 1, Folder 13) P. Oxy. 1230","https://web.library.yale.edu/divinity","Yale Divinity Library","","Ap 5,5-8; 6,5-8",
399.0,"P25","E V",10025.0,"","P25","g","","",375.0,"Germany",23.0,"IV (E)","","Berlin","",0.0,"1 Frg","","P. 16388","","Staatliche Museen zu Berlin Preußischer Kulturbesitz","","Mt 18,32-34; 19,1-3.5-7.9-10",
625.0,"P26","VII (A)",10026.0,"","P26","g","","",600.0,"USA",24.0,"VII (A)","http://smu.edu/bridwell/","Dallas, TX","",0.0,"1 Frg","","Pap. 1","http://ntmss.info/instlogos/smu_blue.jpg","Southern Methodist University Bridwell Library","","R 1,1-9; 1,9-16",
299.0,"P27","III",10027.0,"","P27","g","","",200.0,"United Kingdom",25.0,"III","http://www.lib.cam.ac.uk/","Cambridge","",0.0,"2 Frg (1Bl.)","","Ms. Add. 7211","http://ntmss.info/instlogos/cambridge2.jpg","Cambridge University Library","52.2051088,0.1077233","R 8,12-22.24-27; 8,33-9,3.5-9",
299.0,"P28","III",10028.0,"","P28","g","","",200.0,"USA",6200.0,"III","","Los Angeles, CA","",0.0,"1 Frg","","Pap.2","","Collection of Gifford Combs","","J 6,8-12; 6,17-22",
299.0,"P29","III",10029.0,"","P29","g","","",200.0,"United Kingdom",27.0,"III","http://www.bodleian.ox.ac.uk/","Oxford","",0.0,"1 Frg","","Ms. Gr. bib. g. 4(P)","https://iiif.bodleian.ox.ac.uk/iiif/image/f27e28db-0b08-4f16-9bdf-3565f591fb71/full/255,/0/default.jpg","Bodleian Library","","Act 26,7-8; 26,20",
299.0,"P30","E II - A III",10030.0,"","P30","g","","",200.0,"Belgium",28.0,"III","http://lib.ugent.be/","Ghent","",0.0,"5 Frg (2 Bl.)","","Inv. 61","http://ntmss.info/instlogos/Gent.png","Ghent University Library","","1 Th 4,12-13.16- 17; 5,3.8-10.12-18; 2.Th 1, 1-2",
699.0,"P31","VII",10031.0,"","P31","g","","",600.0,"United Kingdom",29.0,"VII","http://www.library.manchester.ac.uk/eresources/imagecollections/university/papyrus/","Manchester","",0.0,"1 Frg","","Gr. P. 4","http://ntmss.info/instlogos/JohnRylandUL.gif","John Rylands University Library of Manchester","","R 12,3-8",
225.0,"P32","III (A)",10032.0,"","P32","g","","",200.0,"United Kingdom",30.0,"III (A)","http://www.library.manchester.ac.uk/eresources/imagecollections/university/papyrus/","Manchester","",0.0,"1 Frg","","Gr. P. 5","http://ntmss.info/instlogos/JohnRylandUL.gif","John Rylands University Library of Manchester","","Tt 1,11-15; 2,3-8",
599.0,"P33","VI",10033.0,"","P33",,,,,"Austria",5418.0,"VI","http://www.onb.ac.at/","Wien","",0.0,"1 Frg (2 Bl.)","","Pap. G. 17973","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","aP: Act",
599.0,"P33","VI",10033.0,"","P33",,,,,"Austria",5419.0,"VI","http://www.onb.ac.at/","Wien","",0.0,"1 Frg (2 Bl.)","","Pap. G. 26133","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","aP: Act",
599.0,"P33","VI",10033.0,"","P33",,,,,"Austria",5420.0,"VI","http://www.onb.ac.at/","Wien","",0.0,"1 Frg (2 Bl.)","P58","Pap. G. 35831","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","aP: Act",
599.0,"P33","VI",10033.0,"","P33",,,,,"Austria",5421.0,"VI","http://www.onb.ac.at/","Wien","",0.0,"1 Frg (2 Bl.)","","Pap. G. 39783","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","aP: Act",
599.0,"P33","VI",10033.0,"","P33","g","","",500.0,,,,,,,,,,,,,,,
699.0,"P34","VII",10034.0,"","P34","g","","",600.0,"Austria",31.0,"VII","http://www.onb.ac.at/","Wien","",0.0,"1 Frg (Dbl.)","","Pap. G. 39784","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","1 K 16,4-7.10; 2 K 5,18-21; 10,13-14; 11,2.4.6-7",
599.0,"P35","E V",10035.0,"","P35","g","","",400.0,"Italy",32.0,"IV (?)","http://www.bml.firenze.sbn.it/","Florence","",0.0,"1 Frg","","PSI I 1","http://ntmss.info/instlogos/Laurenziana.gif","Biblioteca Medicea Laurenziana","","Mt 25,12-15; 25,20-23",
599.0,"P36","VI",10036.0,"","P36","g","","",500.0,"Italy",33.0,"VI","http://www.bml.firenze.sbn.it/","Florence","",0.0,"2 Frg (2 B.)","","PSI I 3","http://ntmss.info/instlogos/Laurenziana.gif","Biblioteca Medicea Laurenziana","","J 3,14-18.31-32.34-36",
399.0,"P37","III/IV",10037.0,"","P37","g","","",200.0,"USA",34.0,"III/IV","http://www.lib.umich.edu/","Ann Arbor, MI","",0.0,"1 Frg","","Inv. Nr. 1570","http://ntmss.info/instlogos/michigan.jpg","University of Michigan Library","42.2808256,-83.7430378","Mt 26,19-37; 26,37-52",
325.0,"P38","IV (A)",10038.0,"","P38","g","","",300.0,"USA",35.0,"IV (A)","http://www.lib.umich.edu/","Ann Arbor, MI","",0.0,"3 Frg","","Inv. Nr. 1571","http://ntmss.info/instlogos/michigan.jpg","University of Michigan Library","42.2808256,-83.7430378","Act 18,27-19,6; 19,12-16",
299.0,"P39","III",10039.0,"","P39","g","","",200.0,"USA",5983.0,"III","http://museumofthebible.org/","Washington D.C.","",0.0,1.0,"","MOTB.PAP.000116","https://d302e0npexowb4.cloudfront.net/wp-content/uploads/2018/08/03152825/museum-of-the-bible-logo.png","Museum of the Bible","","J 8,14-18; 8,18-21",
299.0,"P40","III",10040.0,"","P40","g","","",200.0,"Germany",37.0,"III","http://www.uni-heidelberg.de/fakultaeten/philosophie/zaw/papy/index.html","Heidelberg","",0.0,"5 Frg (4 Bl.)","","P. Heid. Inv. G. 645","http://ntmss.info/instlogos/PapHeidelberg.jpg","Institut für Papyrologie","49.4102468,8.7064363","R 1,24-27; 1,31-2,3; 3,21-4,8; 6,4-5.16; 9,16-17.27",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5422.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7377","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5423.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7384","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5424.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7396","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5425.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7426","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5426.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7541","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5427.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7542","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5428.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7544","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5429.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7545","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5430.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7546","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5431.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7547","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5432.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7548","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5433.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7731","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5434.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7912","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5435.0,"VIII","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7914","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41",,,,,"Austria",5999.0,"","http://www.onb.ac.at/","Wien","",0.0,"","","Pap. K. 7543","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
799.0,"P41","VIII",10041.0,"","P41","g-k","","",700.0,,,,,,,,,,,,,,,
799.0,"P42","VII/VIII",10042.0,"","P42","g-k","","",600.0,"Austria",38.0,"VII/VIII","http://www.onb.ac.at/","Wien","",0.0,"1 Frg","","Pap. K. 8706","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","greek/coptic: L 1,54-55; 2,29-32 coptic: L 1,46-51",
699.0,"P43","VI/VII",10043.0,"","P43","g","","",500.0,"United Kingdom",39.0,"VI/VII","http://www.bl.uk/","London","",0.0,"1 Frg","","Inv. Nr. 2241","https://www.bl.uk/britishlibrary/resources/global/images/bl_logo_100.gif","British Library","51.5293496,-0.1275516","Ap 2,12-13; 15,8-16,2",
699.0,"P44","VI/ VII",10044.0,"","P44","g","","",500.0,"USA",5950.0,"","https://www.metmuseum.org","New York, NY","",0.0,"","P44B","Inv. 14.1.527","","The Metropolitan Museum of Art","","",
299.0,"P45","III",10045.0,"","P45",,,,,"Ireland",5436.0,"III","http://www.cbl.ie/","Dublin","",0.0,"","","CBL BP I","http://ntmss.info/instlogos/cbl.png","Chester Beatty Library","53.3422356,-6.2672762","Mt 20:24-32; 21:13-19; Mk 4:36-40; 5:15-26; 5:38-6:3,16-25,36-50; 7:3-15; 7:25-8:1,10-26; 8:34-9:9,18-31; 11:27-12:1,5-8,13-19,24-28; Lk 6:31-41; 6:45-7:7; 9:26-41; 9:45-10:1,6-22; 10:26-11:1,6-25,28-46; 11:50-12:12,18-37; 12:42-13:1,6-24; 13:29-14:10,17-33; Jn 4:51,54; 5:21,24; 10:7-25; 10:30-11:10,18-36,42-57; Ac 4:27-36; 5:10-21,30-39; 6:7-7:2,10-21,32-41; 7:52-8:1,14-25; 8:34-9:6,16-27; 9:35-10:2,10-23,31-41; 11:2-14; 11:24-12:5,13-22; 13:6-16,25-36; 13:46-14:3,15-23; 15:2-7,19-27; 15:38-16:4, 15-21, 32-40; 17:9-17",
299.0,"P45","III",10045.0,"","P45",,,,,"Austria",5437.0,"III","http://www.onb.ac.at/","Wien","",0.0,2.0,"","Pap. G. 31974","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","Mt 25:41-26:39",
299.0,"P45","III",10045.0,"","P45","g","","",200.0,,,,,,,,,,,,,,,
225.0,"P46","III (A)",10046.0,"","P46",,,,,"Ireland",5438.0,"III (A)","http://www.cbl.ie/","Dublin","",0.0,"56, f 1-10","","CBL BP II","http://ntmss.info/instlogos/cbl.png","Chester Beatty Library","53.3422356,-6.2672762","p",
225.0,"P46","III (A)",10046.0,"","P46",,,,,"USA",5439.0,"III (A)","http://www.lib.umich.edu/","Ann Arbor, MI","",0.0,30.0,"","Inv. Nr. 6238","http://ntmss.info/instlogos/michigan.jpg","University of Michigan Library","42.2808256,-83.7430378","p",
225.0,"P46","III (A)",10046.0,"","P46","g","","",200.0,,,,,,,,,,,,,,,
299.0,"P47","E III",10047.0,"","P47","g","","",200.0,"Ireland",41.0,"E III","http://www.cbl.ie/","Dublin","",0.0,"10 Frg (10 Bl.)","","CBL BP III","http://ntmss.info/instlogos/cbl.png","Chester Beatty Library","53.3422356,-6.2672762","Ap 9,10-11,3; 11,5-16,15; 16,17-17,2",
299.0,"P48","E III",10048.0,"","P48","g","","",200.0,"Italy",42.0,"E III","http://www.bml.firenze.sbn.it/","Florence","",0.0,"1 Frg","","PSI X 1165","http://ntmss.info/instlogos/Laurenziana.gif","Biblioteca Medicea Laurenziana","","Act 23,11-17; 23,25-29",
299.0,"P49","III (E)",10049.0,"","P49","g","","",275.0,"USA",43.0,"III (E)","","New Haven, CT","",0.0,"2 Frg (1 Bl.)","","P.CtYBR inv. 415","","Yale University Library","","E 4,16-29.4,32-5,13",
499.0,"P50","IV/V",10050.0,"","P50","g","","",300.0,"USA",44.0,"IV/V","","New Haven, CT","",0.0,"1 Frg (1 Dbl.)","","P.CtYBR inv. 1543","","Yale University Library","","Act 8,26-30; 8,30-32; 10,26-27; 10,27-30; 10,30-31",
425.0,"P51","V (A)",10051.0,"","P51","g","","",400.0,"United Kingdom",6097.0,"III","","Oxford","",0.0,"1 Frg","","P. Oxy. 2157","","Sackler Library","","G 1,2-10.13.16-20",
175.0,"P52","II (M)",10052.0,"","P52","g","","",125.0,"United Kingdom",46.0,"II (A)","http://www.library.manchester.ac.uk/eresources/imagecollections/university/papyrus/","Manchester","",0.0,"1 Frg","","Gr. P. 457","http://ntmss.info/instlogos/JohnRylandUL.gif","John Rylands University Library of Manchester","","J 18,31-33.37-38",
299.0,"P53","III",10053.0,"","P53","g","","",200.0,"USA",47.0,"III","http://www.lib.umich.edu/","Ann Arbor, MI","",0.0,"3 Frg (2 Bl.)","","Inv. Nr. 6652","http://ntmss.info/instlogos/michigan.jpg","University of Michigan Library","42.2808256,-83.7430378","Mt 26,29-40r; Act 9,33-10,1",
599.0,"P54","V/VI",10054.0,"","P54","g","","",400.0,"USA",48.0,"V/VI","http://library.princeton.edu/","Princeton, NJ","",0.0,"2 Frg","","P. Princeton 15","http://ntmss.info/instlogos/PrincetonUniversityLibrary2.jpg","Princeton University Libraries","","Jc 2,16-18.22-26; 3,2-4",
699.0,"P55","VI/VII",10055.0,"","P55","g","","",500.0,"Austria",49.0,"VI/VII","http://www.onb.ac.at/","Wien","",0.0,"1 Frg","","Pap. G. 26214","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","J 1,31-33.35-38",
599.0,"P56","VI",10056.0,"","P56",,,,,"Austria",5440.0,"V/VI","http://www.onb.ac.at/","Wien","",0.0,"2 Frg","","Pap. G. 19918","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","a",
599.0,"P56","VI",10056.0,"","P56",,,,,"Austria",5441.0,"VI","http://www.onb.ac.at/","Wien","",0.0,"1 Frg","","Pap. G. 19927","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","aP: Act",
599.0,"P56","VI",10056.0,"","P56","g","","",400.0,,,,,,,,,,,,,,,
499.0,"P57","IV/V",10057.0,"","P57","g","","",300.0,"Austria",50.0,"IV/V","http://www.onb.ac.at/","Wien","",0.0,"1 Frg","","Pap. G. 26020","http://ntmss.info/instlogos/OesterNationalbib.jpg","Österreichische Nationalbibliothek","","Act 4,36-5,2.8-10",
0.0,"P58","",10058.0,"","P58","grc","","",0.0,,,,,,,,,,,,,,,""
699.0,"P59","VII",10059.0,"","P59","g","","",600.0,"USA",51.0,"VII","http://www.themorgan.org/home.asp","New York, NY","",0.0,"14 Frg (14 Bl.)","","Colt Pap. 3.1-4","","Morgan Library & Museum","","J 1,26.28.48.51; 2,15-16; 11,40-52; 12,25.29. 31. 35; 17,24-26; 18,1-2.16-17. 22; 21,7.12-13. 15.17-20.23",
699.0,"P60","VII",10060.0,"","P60","g","","",600.0,"USA",52.0,"VII","http://www.themorgan.org/home.asp","New York, NY","",0.0,"20 Frg (20 Bl.)","","Colt Pap. 4.1-5","","Morgan Library & Museum","","J 16,29-30. 16,32-17,6.8-9.11-15.18-25; 18,1-2.4-5.7-16.18-20.23-29. 31-37.39-40; 19,2-3.5-8.10-18.20.23-26",
725.0,"P61","VIII (A)",10061.0,"","P61","g","","",700.0,"USA",53.0,"VIII (A)","http://www.themorgan.org/home.asp","New York, NY","",0.0,"8 Frg (7 Bl.)","","Colt Pap. 5.1-4","","Morgan Library & Museum","","R 16,23-27; 1K 1,1-2.4-6; 5,1-3.5-6.9-13; Ph 3,5-9.12-16; Kol 1,3-7.9-13; 4,15; 1 Th 1,2-3; Tt 3,1-5.8-11. 14-15; Phm 4-7",
399.0,"P62","IV",10062.0,"","P62","g-k","","",300.0,"Norway",54.0,"IV","","Oslo","",0.0,"13 Frg (13 Dbl.)","","P. Osloensis 1661","","University of Oslo Library ","","(g-k) Mt 11,25-30 (kopt.: Mt 11,25-30)",
525.0,"P63","VI (A)",10063.0,"","P63","g","","",500.0,"Germany",55.0,"VI (A)","","Berlin","",0.0,"1 Frg (1 Dbl.)","","P. 11914","","Staatliche Museen zu Berlin Preußischer Kulturbesitz","","J 3,14-18; 4,9-10",
225.0,"P64","III (A)",10064.0,"","P64",,,,,"United Kingdom",5442.0,"III (A)","http://www.magd.ox.ac.uk/","Oxford","",0.0,"3 Frg (3 Bl.)","","Ms. Gr. 17","http://ntmss.info/instlogos/Oxford_Magdalenen02.jpg","Magdalen College","","eP: Mt",
